2025-12-12T02:57:29.212418,server,log, SERVER READY: Deployed 'firmware_v1.1.bin'.
2025-12-12T02:57:29.313174,ecu,log,ECU Receiver process started.
2025-12-12T02:57:29.414153,server,status,Running
2025-12-12T02:57:29.414153,server,log,[+] OEM Server process started on port 5000.
2025-12-12T02:57:29.414153,server,log,* Serving Flask app 'oem_server'
2025-12-12T02:57:29.414153,server,log,* Debug mode: off
2025-12-12T02:57:29.523047,malicious_server,status,Running
2025-12-12T02:57:29.523047,malicious_server,log,[!] Malicious Server process started on port 5001.
2025-12-12T02:57:29.523928,malicious_server,log,* Serving Flask app 'malicious_server'
2025-12-12T02:57:29.523928,malicious_server,log,* Debug mode: off
2025-12-12T02:57:30.283567,ecu,status,Listening
2025-12-12T02:57:30.283567,ecu,log,[o] ECU online. Waiting for firmware...
2025-12-12T02:57:31.454256,tcu,status,Idle
2025-12-12T02:57:31.454256,tcu,log,TCU Client process started. Waiting for trigger...
2025-12-12T02:57:31.562618,server,log, OEM DEPLOY: Deployed 'firmware_v1.2.bin'.
2025-12-12T02:57:34.409592,tcu,log,[~] Manual update check triggered by GUI.
2025-12-12T02:57:34.410337,tcu,status,Checking
2025-12-12T02:57:34.410337,tcu,log,TCU (v1.0) broadcasting update request...
2025-12-12T02:57:34.955807,tcu,log,-> Pinging OEM Server at http://127.0.0.1:5000...
2025-12-12T02:57:34.956337,server,log,TCU connected. Scanning 'updates'...
2025-12-12T02:57:35.718701,server,log,Latest version available: firmware_v1.2.bin (v1.2)
2025-12-12T02:57:35.719643,tcu,log,-> Pinging Backup/External Server at http://127.0.0.1:5001...
2025-12-12T02:57:35.719643,malicious_server,log,TCU connected. Scanning 'malicious_updates'...
2025-12-12T02:57:36.480072,tcu,log,New update found from OEM server! Version: 1.2
2025-12-12T02:57:37.243290,tcu,status,Downloading
2025-12-12T02:57:37.243799,tcu,progress,0
2025-12-12T02:57:38.006411,server,log,Serving firmware_v1.2.bin to TCU...
2025-12-12T02:57:38.007166,tcu,progress,100.0
2025-12-12T02:57:38.007166,tcu,log,Download complete.
2025-12-12T02:57:38.007166,tcu,progress,100
2025-12-12T02:57:38.754698,tcu,status,Verifying
2025-12-12T02:57:38.754698,tcu,log,Verifying file integrity...
2025-12-12T02:57:39.597636,tcu,log,Server checksum: d223e10f6f38a7c2ad4931ee6b6199c583cfdc45fbdd885ea5e7384fd53e9921
2025-12-12T02:57:39.598147,tcu,log,Local checksum:  d223e10f6f38a7c2ad4931ee6b6199c583cfdc45fbdd885ea5e7384fd53e9921
2025-12-12T02:57:40.358191,tcu,log,WARNING: Checksum verification is disabled!
2025-12-12T02:57:40.359219,tcu,log,Checksum match! File is valid.
2025-12-12T02:57:41.122461,tcu,log,Transferred 'firmware_v1.2.bin' from OEM server to ECU folder.
2025-12-12T02:57:41.123502,tcu,status,Awaiting ACK
2025-12-12T02:57:41.123502,tcu,log,Waiting for acknowledgment from ECU for firmware_v1.2.bin...
2025-12-12T02:57:41.442739,ecu,status,Applying Update
2025-12-12T02:57:41.442739,ecu,log,New update 'firmware_v1.2.bin' detected!
2025-12-12T02:57:42.480149,ecu,status,Flashing
2025-12-12T02:57:42.480149,ecu,log,Initiating flashing sequence...
2025-12-12T02:57:43.459582,ecu,log,Writing to memory block 1/3...
2025-12-12T02:57:44.223412,ecu,log,Writing to memory block 2/3...
2025-12-12T02:57:45.096745,ecu,log,Writing to memory block 3/3...
